Tap,Active,Brewery,Beer Name,Style,ABV,City,Pours,Status,Icon URL,Description
1,yes,Vennture Brew,Cold Brew Coffee,Nitro Cold Brew Coffee · Non-Alcoholic,,"Madison, WI",12oz $4.50 | 16oz $5.50,active,,
2,yes,Cha Cha Tea,Mango Black Tea,Nitro Tea · Non-Alcoholic,,"Madison, WI",12oz $4.50 | 16oz $5.50,active,,
3,yes,The Drowned Lands,Cabin Fever,Barleywine,10,"Warwick, NY",4oz $4 | 8oz $6.50 | 32oz Crowler $22,active,,
4,yes,New Holland,Dragon's Milk Reserve,Coffee & Chocolate Imperial Stout,11,"Holland, MI",4oz $4 | 8oz $6.50 | 32oz Crowler $22,active,,
5,yes,G5,Productive Little Thing,Stout,4.7,"Beloit, WI",4oz $3 | 8oz $4.50 | 16oz $7.50 | 32oz Crowler $18,active,,
6,yes,Giant Jones,Tripel,Belgian Tripel,9.1,"Madison, WI",4oz $4 | 8oz $6.50 | 16oz $9.50 | 32oz Crowler $22,active,,
7,yes,G5,Tie the Stem,Cherry Limeaide Gluten-Free Sour,5,"Beloit, WI",4oz $4 | 8oz $6.50 | 16oz $9.50 | 32oz Crowler $22,active,,
8,yes,Fox River,Blu Bobber (Blueberry Ale),Fruit Beer,4.5,"Oshkosh, WI",4oz $3 | 8oz $4.50 | 16oz $7.50 | 32oz Crowler $18,active,,
9,yes,Oliphant,Rusket Red,Red Lager,5,"Somerset, WI",4oz $3 | 8oz $4.50 | 16oz $7.50 | 32oz Crowler $18,active,,
10,yes,Explorium,Copper Lager,Vienna Lager,6,"Greendale, WI",4oz $3 | 8oz $4.50 | 16oz $7.50 | 32oz Crowler $18,active,,
11,no,,,,,,,,,
12,yes,Oliphant,Honees Honees,Peanut Butter & Honey Golden Ale,5.6,"Somerset, WI",4oz $3 | 8oz $4.50 | 16oz $7.50 | 32oz Crowler $18,active,,
13,yes,Odell,Peach Stand Rambler,Blonde Ale,5,"Fort Collins, CO",4oz $3 | 8oz $4.50 | 16oz $7.50 | 32oz Crowler $18,active,,
14,yes,Phase Three,Pixel Populus,Double New England Hazy IPA,8,"Lake Zurich, IL",4oz $4 | 8oz $6.50 | 16oz $9.50 | 32oz Crowler $22,active,,
15,yes,Phase Three,Pixel,New England Hazy IPA,6.5,"Lake Zurich, IL",4oz $3.50 | 8oz $5.50 | 16oz $8.50 | 32oz Crowler $20,active,,
16,yes,Phase Three,Pixel Demoliri,Double New England Hazy IPA,8,"Lake Zurich, IL",4oz $4 | 8oz $6.50 | 16oz $9.50 | 32oz Crowler $22,active,,
17,yes,Phase Three,Pixel In the Machine,Double New England Hazy IPA,8,"Lake Zurich, IL",4oz $4 | 8oz $6.50 | 16oz $9.50 | 32oz Crowler $22,active,,
18,yes,Phase Three,P3 Polotmavý,Czech Amber,4.7,"Lake Zurich, IL",16oz Side-Pull Pour $8,active,,
